# bubble_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
   10000 3.984e-02 4.157e-02 4.036e-02 3.356e-04
   12589 6.332e-02 6.595e-02 6.414e-02 5.424e-04
#------- --------- --------- --------- ---------


# selection_sort
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 5.060e-07 6.600e-07 5.270e-07 2.696e-08
      13 5.760e-07 7.260e-07 5.983e-07 2.546e-08
      16 6.630e-07 7.090e-07 6.795e-07 9.699e-09
      20 8.080e-07 9.300e-07 8.277e-07 1.774e-08
      25 1.031e-06 1.169e-06 1.057e-06 2.282e-08
      32 1.418e-06 1.820e-06 1.511e-06 9.120e-08
      40 1.960e-06 2.304e-06 2.033e-06 6.238e-08
      50 2.813e-06 3.136e-06 2.900e-06 5.444e-08
      63 4.190e-06 4.996e-06 4.371e-06 1.369e-07
      79 6.284e-06 6.777e-06 6.508e-06 8.935e-08
     100 9.822e-06 1.378e-05 1.028e-05 4.932e-07
     126 1.532e-05 2.931e-05 1.607e-05 1.591e-06
     158 2.380e-05 2.671e-05 2.451e-05 4.239e-07
     200 3.888e-05 4.128e-05 3.960e-05 3.905e-07
     251 5.991e-05 6.553e-05 6.172e-05 1.036e-06
     316 9.457e-05 1.024e-04 9.595e-05 1.123e-06
     398 1.502e-04 1.791e-04 1.522e-04 2.746e-06
     501 2.387e-04 2.808e-04 2.424e-04 7.383e-06
     631 3.798e-04 4.246e-04 3.849e-04 9.957e-06
     794 6.034e-04 6.499e-04 6.116e-04 1.370e-05
    1000 9.392e-04 1.040e-03 9.735e-04 2.102e-05
    1259 1.497e-03 1.630e-03 1.551e-03 2.580e-05
    1585 2.425e-03 2.524e-03 2.457e-03 2.378e-05
    1995 3.858e-03 4.105e-03 3.925e-03 5.004e-05
    2512 6.155e-03 6.476e-03 6.232e-03 6.721e-05
    3162 9.791e-03 1.034e-02 9.981e-03 1.289e-04
    3981 1.551e-02 1.631e-02 1.574e-02 1.632e-04
    5012 2.474e-02 2.588e-02 2.511e-02 2.663e-04
    6310 3.925e-02 4.123e-02 3.988e-02 4.666e-04
    7943 6.224e-02 6.593e-02 6.299e-02 7.042e-04
#------- --------- --------- --------- ---------


# radix_base10
#      n  min time  max time  avg time   std dev
#------- --------- --------- --------- ---------
      10 2.201e-06 3.081e-06 2.259e-06 1.542e-07
      13 2.661e-06 2.743e-06 2.684e-06 1.477e-08
      16 3.142e-06 4.854e-06 3.361e-06 4.364e-07
      20 3.761e-06 5.823e-06 4.377e-06 7.651e-07
      25 4.555e-06 7.141e-06 6.245e-06 8.711e-07
      32 5.684e-06 8.853e-06 7.448e-06 1.257e-06
      40 6.892e-06 1.071e-05 8.402e-06 1.529e-06
      50 8.460e-06 9.469e-06 8.546e-06 1.161e-07
      63 1.051e-05 1.381e-05 1.065e-05 3.494e-07
      79 1.307e-05 2.673e-05 1.475e-05 3.930e-06
     100 1.687e-05 3.330e-05 1.820e-05 3.794e-06
     126 2.097e-05 4.156e-05 2.235e-05 4.525e-06
     158 2.601e-05 5.189e-05 2.835e-05 6.738e-06
     200 3.259e-05 6.660e-05 3.621e-05 9.412e-06
     251 4.059e-05 5.760e-05 4.175e-05 2.510e-06
     316 5.088e-05 6.154e-05 5.182e-05 1.625e-06
     398 6.226e-05 7.342e-05 6.415e-05 1.524e-06
     501 7.798e-05 1.127e-04 8.032e-05 5.074e-06
     631 9.776e-05 1.277e-04 1.001e-04 4.284e-06
     794 1.228e-04 1.607e-04 1.261e-04 5.443e-06
    1000 1.553e-04 1.956e-04 1.584e-04 6.360e-06
    1259 1.953e-04 3.215e-04 2.383e-04 4.252e-05
    1585 2.458e-04 3.440e-04 2.558e-04 1.104e-05
    1995 3.084e-04 4.525e-04 3.256e-04 2.827e-05
    2512 3.905e-04 5.638e-04 4.135e-04 3.012e-05
    3162 4.883e-04 6.060e-04 5.096e-04 2.527e-05
    3981 6.158e-04 8.465e-04 6.518e-04 3.952e-05
    5012 7.759e-04 9.725e-04 8.166e-04 3.935e-05
    6310 9.755e-04 1.727e-03 1.043e-03 1.244e-04
    7943 1.229e-03 1.793e-03 1.282e-03 7.936e-05
   10000 1.551e-03 1.824e-03 1.623e-03 6.036e-05
   12589 1.950e-03 2.137e-03 2.005e-03 4.191e-05
   15849 2.457e-03 2.626e-03 2.516e-03 3.877e-05
   19953 3.094e-03 3.382e-03 3.180e-03 5.540e-05
   25119 3.888e-03 4.103e-03 3.948e-03 3.515e-05
   31623 4.852e-03 5.153e-03 4.976e-03 5.774e-05
   39811 6.182e-03 6.487e-03 6.280e-03 5.280e-05
   50119 7.807e-03 8.406e-03 7.939e-03 9.082e-05
   63096 9.921e-03 1.207e-02 1.029e-02 3.753e-04
   79433 1.255e-02 1.551e-02 1.304e-02 5.557e-04
  100000 1.577e-02 1.918e-02 1.638e-02 6.476e-04
  125893 1.984e-02 2.330e-02 2.045e-02 6.304e-04
  158489 2.498e-02 2.807e-02 2.557e-02 5.702e-04
  199526 3.163e-02 3.558e-02 3.239e-02 7.246e-04
  251189 4.004e-02 4.860e-02 4.208e-02 1.903e-03
